Rok,Kandidátní listina,Kandidátní listina.1,Hlasy,Hlasy.1,Početkandidátů,Přepočtenýzákladdle počtukandidátů,Přepočtené % plat. hlasů,Početmandátů,Podíly hlasů
Rok,Kandidátní listina,Kandidátní listina,abs.,v %,Početkandidátů,Přepočtenýzákladdle počtukandidátů,Přepočtené % plat. hlasů,Početmandátů,Podíly hlasů
2002,1,Strana zelených,17 032,5.01,33,339 685.00,5.01,1,X
2002,2,Unie svobody-Demokratická unie,4 638,1.37,16,164 695.75,2.81,0,
2002,3,Česká str.sociálně demokrat.,57 801,17.02,33,339 685.00,17.01,6,X
2002,4,Republikáni Miroslava Sládka,822,0.24,11,113 228.33,0.72,0,
2002,5,Občanská demokratická strana,99 687,29.35,33,339 685.00,29.34,10,X
2002,6,Křesť.demokr.unie-Čs.str.lid.,21 311,6.27,33,339 685.00,6.27,2,X
2002,7,Komunistická str.Čech a Moravy,49 809,14.66,33,339 685.00,14.66,5,X
2002,8,Sdružení nezávislých,58 239,17.15,33,339 685.00,17.14,6,X
2002,9,Česká strana národně sociální,1 985,0.58,29,298 511.06,0.66,0,
2002,10,NEZÁVISLÍ,28 361,8.35,33,339 685.00,8.34,3,X
2006,1,Strana zelených,21 485,5.41,33,"397 078,00",5.41,2,X
2006,2,Volba pro Mladou Boleslav,24 366,6.14,33,"397 078,00",6.13,2,X
2006,3,Česká str.sociálně demokrat.,82 604,20.80,33,"397 078,00",20.80,7,X
2006,4,Občanská demokratická strana,146 537,36.90,33,"397 078,00",36.90,14,X
2006,5,SNK Evropští demokraté,38 292,9.64,33,"397 078,00",9.64,3,X
2006,6,Národní strana,4 778,1.20,33,"397 078,00",1.20,0,-
2006,7,Komunistická str.Čech a Moravy,39 278,9.89,33,"397 078,00",9.89,3,X
2006,8,ZVON,28 305,7.13,33,"397 078,00",7.12,2,X
2006,9,Křesť.demokr.unie-Čs.str.lid.,11 433,2.88,33,"397 078,00",2.87,0,-
2010,1,Volba pro Mladou Boleslav,33 177,7.54,33,"439 997,00",7.54,3,X
2010,2,Občanská demokratická strana,175 757,39.95,33,"439 997,00",39.94,15,X
2010,3,Strana Práv Občanů ZEMANOVCI,3 718,0.85,33,"439 997,00",0.84,0,-
2010,4,Komunistická str.Čech a Moravy,42 020,9.55,33,"439 997,00",9.55,3,X
2010,5,Česká str.sociálně demokrat.,103 193,23.45,33,"439 997,00",23.45,9,X
2010,6,TOP 09,37 694,8.57,33,"439 997,00",8.56,3,X
2010,7,ZVON,10 878,2.47,32,"426 663,75",2.54,0,-
2010,8,Křesť.demokr.unie-Čs.str.lid.,5 399,1.23,21,"279 998,09",1.92,0,-
2010,9,Sdruž.pro rep.-Republ.str.Čsl.,446,0.10,6,"79 999,45",0.55,0,-
2010,10,Strana zelených,14 286,3.25,33,"439 997,00",3.24,0,-
2010,11,Věci veřejné,13 429,3.05,33,"439 997,00",3.05,0,-
2014,1,"TOP 09 - lidi, které znáte",32 615,9.10,33,"358 536,00",9.09,3,X
2014,2,Křesť.demokr.unie-Čs.str.lid.,13 161,3.67,33,"358 536,00",3.67,0,-
2014,3,Nezávislí Pro Mladou Boleslav,5 257,1.47,33,"358 536,00",1.46,0,-
2014,4,ANO 2011 + Volba pro MB,73 772,20.58,33,"358 536,00",20.57,8,X
2014,5,Strana zelených,17 341,4.84,33,"358 536,00",4.83,0,-
2014,6,Občanská demokratická strana,99 036,27.62,33,"358 536,00",27.62,12,X
2014,7,Komunistická str.Čech a Moravy,30 817,8.60,33,"358 536,00",8.59,3,X
2014,8,Otevřená radnice,4 778,1.33,33,"358 536,00",1.33,0,-
2014,9,Strana svobodných občanů,7 380,2.06,33,"358 536,00",2.05,0,-
2014,10,Mladoboleslavské hnutí nezáv.,8 667,2.42,33,"358 536,00",2.41,0,-
2014,11,Česká str.sociálně demokrat.,65 712,18.33,33,"358 536,00",18.32,7,X
2018,1,Komunistická str.Čech a Moravy,25 086,6.62,33,"379 225,00",6.61,2,X
2018,2,TOP 09,15 516,4.09,33,"379 225,00",4.09,0,-
2018,3,Občanská demokratická strana,109 073,28.76,33,"379 225,00",28.76,11,X
2018,4,ANO 2011+Volba pro Ml.Boleslav,100 181,26.42,33,"379 225,00",26.41,10,X
2018,5,KRÁSNÁ MLADÁ BOLESLAV,12 215,3.22,33,"379 225,00",3.22,0,-
2018,6,Česká str.sociálně demokrat.,29 559,7.79,33,"379 225,00",7.79,3,X
2018,7,Svob.a př.dem.-T.Okamura (SPD),18 575,4.90,33,"379 225,00",4.89,0,-
2018,8,"Koalice KDU-ČSL, Zelení",20 615,5.44,33,"379 225,00",5.43,2,X
2018,9,STAROSTOVÉ A NEZÁVISLÍ,48 405,12.76,33,"379 225,00",12.76,5,X
